conduct_id,conduct_name,shop_id,gender,age,register_time,mobile,wechat_openid,minapp_openid,province,turn_postive_time,position,duration,mobile_auth_status,openid_auth_status
adviser_000000857263,裴海燕,S5|S4|S1|S3|S6,未知,43,2021-07-02 19:08:02,mock_14979554567,oO8fw5IzsDU0o2aF8fSAr5LTQ1ueVJZhgl,oO8fw5Ln0td13zxMC2XZH4VASKGrpqW5iF,新疆维吾尔自治区,2023-05-21 07:03:11,2,5,1,0
adviser_000000234805,李想,S7|S6|S4|S5|S8|S1|S3|S10,未知,29,2022-10-11 21:36:31,mock_17896848629,oO8fw5IPLcrsVY9jtS3EwnWM4daeKQlUo6,oO8fw5dR9Y5JTlzCPjiEoFGtaUXWyrcxnO,青海省,2022-08-20 16:00:18,4,1,0,0
adviser_000000647235,王玉兰,S7|S1|S8|S2|S4|S6,女,41,2021-09-28 22:27:55,mock_13524738636,oO8fw5GUROrst9L7ldQmxFBYAZST3jgIVi,oO8fw59jGOi1ly3ENHJdcWxUv6DP0V2TwR,澳门特别行政区,2022-11-04 22:36:57,2,1,1,1
adviser_000000420836,李莉,S8|S1|S7,男,29,2022-03-23 18:35:21,mock_14932109461,oO8fw59qslwSo2WeCOfk7iRMpQ83NzH1hv,oO8fw5RjVwd9Ft5bx46kQ8f1e3i0p2uNMK,福建省,2021-11-05 15:42:57,1,6,0,0
adviser_000000368712,潘桂芳,S1|S7|S4,未知,22,2023-03-18 12:26:25,mock_17724720194,oO8fw5TkR2onXhItCGmBeYQDrfVj8a9lMZ,oO8fw5yxaRjBnz0tpqfNXlbreM6v2CKkJW,新疆维吾尔自治区,2022-04-27 07:16:46,6,5,0,1
adviser_000000967204,潘秀英,S3|S2|S9,女,48,2022-08-31 03:22:31,mock_17664500998,oO8fw5bSBEiQtlTIVefGg92uZjzRrwLoh7,oO8fw532zD7SJXKxqldTamvtjwN40VACpI,辽宁省,2021-08-18 07:46:57,1,5,0,0
adviser_000000758049,杨冬梅,S6|S10|S3,女,24,2021-01-07 22:11:31,mock_18260767126,oO8fw5gWKaDZwnYCGJP9qt6QeTN4UfBjH8,oO8fw5CtMm2IdNB6rz4hZncRfxk9FGlAaE,内蒙古自治区,2023-05-18 14:28:13,2,9,1,0
adviser_000000702184,祝斌,S7|S9|S4|S6|S10|S2|S3|S8|S1|S5,女,30,2022-09-27 06:29:09,mock_17582466948,oO8fw5TXFwm7K0iEGzShYgpM5IqNcodVDt,oO8fw5HuL4PAXGKYgjNCz1d0ZmaWU5hD28,云南省,2022-11-14 17:09:32,5,8,0,0
adviser_000000231046,常红,S9|S2|S10|S6|S8|S3|S4|S5|S7,女,23,2021-06-27 20:14:23,mock_18522653618,oO8fw5VQh7mrnfMqdeXBCpZcRSzti84YAl,oO8fw5DCXz5GP8yxvwbgRI2OsdrH0QhAVi,贵州省,2023-06-13 11:30:14,6,10,0,0
adviser_000000924530,程志强,S4|S7|S3|S9|S5|S1|S10|S8,男,48,2023-01-09 22:18:42,mock_17584427185,oO8fw5eEFBvRiTDY9A8U1NhP7oJpLSKy4m,oO8fw59CkmNHfEjF4GRO2uSZrAQb5wezvI,山东省,2022-08-09 22:40:05,6,1,1,0
adviser_000000405693,江想,S1|S4|S2|S5|S6|S8|S7|S10,女,20,2022-12-24 05:52:49,mock_17517329970,oO8fw5qpVzdMrayfowsIcABivUHY5nDZQe,oO8fw5x7k0Fo1W8iuZgywBIL5msanrdRNQ,浙江省,2023-03-21 16:15:18,4,4,0,0
adviser_000000809734,邵玉珍,S7|S9|S10,男,50,2023-06-25 17:26:19,mock_15039781340,oO8fw57v0kAsizdEQM2r1FLXfSaBcVJRG3,oO8fw5PdhEkOmu0wS4L1DKQ7RzjyxZMUIq,湖南省,2021-10-14 15:24:39,6,1,0,0
adviser_000000580136,刘岩,S7|S4|S10|S9,男,31,2022-08-29 22:43:04,mock_17535155544,oO8fw5WhUZbrD1GV0nc3pakxe9H8TXo5qf,oO8fw5JEpcBPYRdzofmxvuQ0sKT7UFbt1Z,重庆市,2022-11-26 17:36:40,5,2,1,0
adviser_000000025918,周杨,S5|S4|S7|S10|S8|S9|S3,男,31,2022-09-12 07:18:24,mock_13385507842,oO8fw5taDRgrZWfpQJ2SH6EGzc3YBI49s1,oO8fw5ZrBW4TRNQdtfbyjxXI0pJAiqlPLO,浙江省,2022-04-20 15:07:39,4,5,1,1
adviser_000000498036,刘志强,S3|S10,女,45,2021-03-22 11:59:18,mock_13060656018,oO8fw5xdYQKgHDzLNF2rE9clZCyb8peThU,oO8fw5fWjIZNcRvnKPAwas3DUFM4ubYkOy,湖北省,2022-09-19 21:05:24,1,3,0,0
adviser_000000832046,陈丽丽,S9|S10|S7|S5|S6|S8|S3|S1,女,33,2022-07-09 03:24:41,mock_18640976797,oO8fw5PcUsi7kGdNImYKyJlu58CoZr3DhS,oO8fw5fEg21O3pmjQcb0T49wMeAP5UdZoq,重庆市,2022-11-17 01:57:27,2,6,1,0
adviser_000000697280,杜磊,S3|S7|S2|S8|S10|S6|S4|S1|S9,男,49,2022-10-27 22:57:42,mock_15577657840,oO8fw5Gonrjm8pZkVIxPgWe27Q4DSFwvHB,oO8fw54kT37v80PspnagwJXFOr6QomLRWA,内蒙古自治区,2023-04-22 19:41:35,1,4,0,1
